Timestamp,Sensor_ID,nh3,no2,co
2026-01-29 17:00:00,S1,0.09920625000000001,6.92307725,12.806774375
2026-01-29 18:00:00,S1,0.13035464788732395,6.122547549295774,17.562811647887322
2026-01-29 19:00:00,S1,7.159540014084507,11.099073126760564,29.62320904225352
2026-01-29 20:00:00,S1,0.15628804285714287,13.2530957,29.40903547142857
2026-01-29 21:00:00,S1,0.13929718309859154,13.027910985915494,27.15781871830986
2026-01-29 22:00:00,S1,0.18022649295774648,15.094326211267605,31.613956577464787
2026-01-29 23:00:00,S1,0.15133521126760563,14.052864267605633,30.392612154929576
2026-01-30 09:00:00,S1,0.14212442,16.25347938,35.59072004
2026-01-30 10:00:00,S1,17.13472,6.762718266666667,30.100122466666665
2026-01-30 11:00:00,S1,17.011817464788734,3.289136535211268,34.26473408450704
2026-01-30 12:00:00,S1,16.77277661971831,3.171851690140845,29.74978115492958
2026-01-30 13:00:00,S1,17.476485352112675,4.267657295774648,34.045985028169014
2026-01-30 14:00:00,S1,18.351119130434782,3.5451504782608696,39.78128146376812
2026-01-30 15:00:00,S1,17.857230985915493,3.2839774225352114,35.79597205633803
2026-01-30 16:00:00,S1,17.4906008,2.79169718,38.95042742
2026-01-30 17:00:00,S1,17.957267,6.6703299000000005,50.0952383
2026-01-30 18:00:00,S1,17.51122366197183,3.3469191690140847,39.80360814084507
2026-01-30 19:00:00,S1,17.299354366197182,3.0370255492957745,41.22272045070422
2026-01-30 20:00:00,S1,17.17948985714286,3.0312226714285715,33.1439033
2026-01-30 21:00:00,S1,17.417327042253522,2.9324666338028167,36.26614342253521
2026-01-31 14:00:00,S1,17.611724,5.5531136666666665,15.233212
2026-01-31 15:00:00,S1,18.182104142857142,43.9399963,14.889238185714285
2026-01-31 16:00:00,S1,17.483708028169016,27.1980601971831,13.660424309859154
2026-01-31 17:00:00,S1,17.8950638028169,36.29503476056338,14.178747802816902
2026-02-01 18:00:00,S1,17.438189375,2.9044566875,31.71626959375
2026-02-01 19:00:00,S1,17.64639352112676,3.116476633802817,40.40722983098591
2026-02-02 00:00:00,S1,17.708730344827586,2.8352491379310343,35.35935362068965
2026-02-02 14:00:00,S1,19.29182,4.615384499999999,79.059825
2026-02-02 18:00:00,S1,0.148148,5.185184933333334,12.794462000000001
2026-02-02 19:00:00,S1,0.2686200833333333,7.737077666666667,12.932435
2026-02-02 20:00:00,S1,0.18607357746478873,9.832327014084507,12.980787746478873
2026-02-02 21:00:00,S1,0.18848114084507042,9.321914281690141,12.971845352112677
2026-02-02 22:00:00,S1,0.1553383888888889,25.745488597222224,14.184302638888889
2026-02-02 23:00:00,S1,0.14342452112676057,33.12662253521127,14.467317464788733
2026-02-03 00:00:00,S1,0.12102267647058824,26.93313180882353,13.557782205882352
2026-02-03 01:00:00,S1,0.1308214285714286,31.52660007142857,14.247340714285714
2026-02-03 02:00:00,S1,0.14239267605633804,29.080121169014085,14.028444507042254
2026-02-03 03:00:00,S1,0.10971802816901409,27.65481804225352,13.81932647887324
2026-02-03 08:00:00,S1,0.16182810447761195,31.82074913432836,14.237968208955223
2026-02-03 11:00:00,S1,0,61.17216,18.58364
2026-02-03 12:00:00,S1,0.23199,38.485958833333335,13.410664833333334
2026-02-03 14:00:00,S1,0.2755972857142857,51.91697142857143,15.492764285714285
2026-02-03 17:00:00,S1,0.13431,39.676435,14.759871583333334
2026-02-03 18:00:00,S1,8.252907420289855,20.714905231884057,13.24839420289855
2026-02-04 11:00:00,S1,0.20512803333333335,45.542532,15.684168666666666
2026-02-04 12:00:00,S1,0.21036090000000002,34.198151257142854,14.257806114285714
